"group","personas","completion_rate","wow_rate","love_score","ease_score","clarity_score","trust_score","confidence_lift_score","stress_reduction_score","family_time_back_resonance_score","use_again_score","estimated_minutes_saved","time_to_value_seconds"
"tech-batch-1","100","61","44","72.2","65.1","69.4","77.4","73.7","57.8","82.7","74.2","17.7","75.7"
"tech-batch-2","100","69","48","72.6","65.5","68.2","76.7","73.4","58.3","83","74.6","17.9","75.1"
"tech-batch-3","100","61","40","71","64.8","68.5","76.8","72.7","56.6","82.2","73.1","17.5","76.6"
"tech-batch-4","100","68","51","72.9","65.2","68.2","76.1","73.5","58.8","83.3","75","18","75.7"
"tech-batch-5","100","70","56","74.4","65.4","69.2","77.2","74.7","60.2","84","76.4","18.1","76.1"
"tech-batch-6","100","71","54","73.7","65.6","68.2","76.5","73.9","59.5","83.7","75.7","18.1","75.8"
"tech-batch-7","100","73","46","72.1","64.6","68.5","76.8","73.3","57.7","82.8","74.2","17.7","76.9"
"tech-batch-8","100","63","41","71.4","65.3","68.8","76.6","72.9","57","82.3","73.3","17.6","76.3"
"tech-batch-9","100","74","54","73.7","64.9","68.6","77.2","74.3","59.5","83.7","75.9","18","76.5"
"tech-batch-10","100","66","48","72.6","65","68.3","77.2","73.6","58.2","83","74.7","17.8","75.8"
"facility-batch-1","100","76","65","79.3","69.3","75.6","81.4","79.2","65.7","85.6","80","17.5","64.3"
"facility-batch-2","100","77","57","77.6","68.5","75.9","80.5","78.3","63.8","84.7","78.2","17","66.2"
"facility-batch-3","100","75","59","78.2","69.4","75.5","81.1","78.5","64.4","84.9","78.8","17.3","64.6"
"facility-batch-4","100","71","63","78.9","69.4","75.5","81.3","79","65.3","85.4","79.6","17.4","64.7"
"facility-batch-5","100","70","57","77.5","68.9","75.2","80.8","78.1","63.8","84.7","78.3","17.2","65.5"
"facility-batch-6","100","74","62","78.8","69.5","75.7","80.9","78.8","65.2","85.3","79.3","17.4","65.8"
"facility-batch-7","100","75","61","78.5","69.4","75.6","80.8","78.7","64.9","85.2","79.1","17.3","65.7"
"facility-batch-8","100","71","56","77.4","68.8","75.7","80.7","78.2","63.7","84.6","78.1","17.1","65.2"
"facility-batch-9","100","74","59","78.4","69.6","76.1","81.1","78.7","64.7","85","78.9","17.3","65.4"
"facility-batch-10","100","69","53","77","69.2","75.8","80.9","78","63.2","84.3","77.6","17","66.3"
"counter-batch-1","100","66","37","65.6","54.2","64.8","77","69.7","50.7","80.9","68.9","10.9","96.3"
