"role","role_label","intervention_id","intervention","effort","personas_affected","affected_rate","completion_lift_pp","wow_lift_pp","love_lift_points","time_to_value_reduction_seconds","priority_score"
"tech","Service Tech","partsnap_direct","Direct PartSnap entry with no blocking role picker","S","1000","100","5.5","8.4","5","10.4","6.1"
"tech","Service Tech","role_next_action","Role-specific next-best-action home","M","1000","100","7.9","8.1","6.3","11.5","5.4"
"tech","Service Tech","time_back_outcome","Show the time-back outcome at completion","S","1000","100","0","7.9","7.9","0","4.5"
"tech","Service Tech","first_use_language","First-use language and visual-step choice","L","800","80","7.5","7.3","7.4","8.9","2.5"
"tech","Service Tech","feedback_after_value","Delay feedback until after value is absorbed","S","1000","100","1","3.8","3.7","1","1.9"
"tech","Service Tech","optional_identity","Optional save and identity only after first success","L","1000","100","2.3","3.3","4","0","-2"
"facility","Facility / CPO","time_back_outcome","Show the time-back outcome at completion","S","1000","100","0","7.9","7.3","0","4.4"
"facility","Facility / CPO","role_next_action","Role-specific next-best-action home","M","1000","100","6.6","6.9","5.2","9.9","4.2"
"facility","Facility / CPO","first_use_language","First-use language and visual-step choice","L","800","80","7.5","7.3","6.8","8.9","2.4"
"facility","Facility / CPO","feedback_after_value","Delay feedback until after value is absorbed","S","1000","100","1","3.8","3.6","1","1.9"
"facility","Facility / CPO","facility_proof","Facility evidence capture and durable incident packet","L","1000","100","3.7","8.8","7.4","-2","1.7"
"facility","Facility / CPO","optional_identity","Optional save and identity only after first success","L","1000","100","2.3","7.2","6.9","0","0.5"
"counter","Counter / Distributor","counter_demo_packet","Counter sample part and vendor packet demo","S","1000","100","9.2","15.1","10.1","14.5","11.7"
"counter","Counter / Distributor","partsnap_direct","Direct PartSnap entry with no blocking role picker","S","1000","100","8.7","10.4","6.1","10.4","8.1"
"counter","Counter / Distributor","role_next_action","Role-specific next-best-action home","M","1000","100","8.6","8.8","6.8","12.5","6.1"
"counter","Counter / Distributor","time_back_outcome","Show the time-back outcome at completion","S","1000","100","0","7.9","8.1","0","4.6"
"counter","Counter / Distributor","first_use_language","First-use language and visual-step choice","L","800","80","7.5","7.3","7.6","8.9","2.5"
"counter","Counter / Distributor","feedback_after_value","Delay feedback until after value is absorbed","S","1000","100","1","3.8","3.7","1","1.9"
"counter","Counter / Distributor","optional_identity","Optional save and identity only after first success","L","1000","100","2.3","7.3","7.6","0","0.7"
"trainer","Trainer","trainer_sample","Trainer opens on a five-minute sample lesson","M","1000","100","11.8","18.6","11.8","18.6","13.1"
"trainer","Trainer","partsnap_direct","Direct PartSnap entry with no blocking role picker","S","1000","100","8.7","8.1","6.1","10.4","7"
"trainer","Trainer","role_next_action","Role-specific next-best-action home","M","1000","100","8.7","8.8","6.8","12.5","6.1"
"trainer","Trainer","time_back_outcome","Show the time-back outcome at completion","S","1000","100","0","7.9","8.1","0","4.6"
"trainer","Trainer","first_use_language","First-use language and visual-step choice","L","800","80","7.5","7.3","7.6","8.9","2.5"
"trainer","Trainer","feedback_after_value","Delay feedback until after value is absorbed","S","1000","100","1","3.8","3.7","1","1.9"
"trainer","Trainer","optional_identity","Optional save and identity only after first success","L","1000","100","2.3","2.9","3.7","0","-2.3"
"homeowner","Homeowner","homeowner_nav","Homeowner-safe four-item navigation","M","1000","100","10.9","15.7","10.7","15.1","11"
"homeowner","Homeowner","role_next_action","Role-specific next-best-action home","M","1000","100","8.7","8.8","6.8","12.5","6.1"
"homeowner","Homeowner","time_back_outcome","Show the time-back outcome at completion","S","1000","100","0","7.9","8.1","0","4.6"
"homeowner","Homeowner","first_use_language","First-use language and visual-step choice","L","800","80","7.5","7.3","7.6","8.9","2.5"
"homeowner","Homeowner","feedback_after_value","Delay feedback until after value is absorbed","S","1000","100","1","3.8","3.7","1","1.9"
"homeowner","Homeowner","optional_identity","Optional save and identity only after first success","L","1000","100","2.3","3.1","3.8","0","-2.2"
