"dimension","group","personas","completion_rate","wow_rate","love_score","ease_score","clarity_score","trust_score","confidence_lift_score","stress_reduction_score","family_time_back_resonance_score","use_again_score","estimated_minutes_saved","time_to_value_seconds"
"experience","11-20 years","1000","61.4","36.8","65.7","57.5","63.4","77.1","68.7","51.3","81.1","68.3","11.5","89.2"
"experience","21+ years","1000","64.1","39.3","67.6","59.5","63.4","81.8","70.3","52.9","81.4","70.3","11.9","88"
"experience","6-10 years","1000","61.4","35.8","65.5","57.5","63.6","77.1","68.6","51.2","80.8","68.1","11.5","89.1"
"experience","0-1 years","1000","56.2","34.7","64.6","55.2","63.6","76.5","68.3","50.1","80.6","67.5","11.1","90.7"
"experience","2-5 years","1000","61.7","39.2","66.1","57.6","63.6","76.5","68.8","51.9","81.4","68.6","11.6","89.7"
"organization_scale","51+ people or sites","1000","61.9","37.9","65.9","57.1","63.4","77.8","69","51.5","81","68.6","11.5","89.4"
"organization_scale","21-50 people or sites","1000","61.4","36.4","65.7","57.4","63.4","77.8","68.8","51.3","81.2","68.4","11.5","89.3"
"organization_scale","6-20 people or sites","1000","59.4","35.2","65.4","57.4","63.5","77.5","68.7","51","80.8","68.1","11.4","89.3"
"organization_scale","2-5 people or sites","1000","60.5","38","66.3","58","63.6","78","69.1","51.9","81.3","68.8","11.6","89"
"organization_scale","one person or one site","1000","61.6","38.3","66.1","57.3","63.6","78","69.2","51.7","81.1","68.8","11.5","89.7"
"tech_comfort","3","1000","58.3","34.7","65.5","57.3","63.5","78","68.8","50.9","80.9","68.1","11.4","88.9"
"tech_comfort","2","1000","58","37.1","64.3","53.3","61.7","77.8","68.2","49.4","80.7","67.9","10.8","92.3"
"tech_comfort","5","1000","69.2","43.2","70","65.7","66.9","77.5","70.9","56.7","82.4","70.9","13.1","83.9"
"tech_comfort","4","1000","62.3","37.2","67.4","61.4","65.2","77.7","69.6","53.4","81.3","69.1","12.2","86.7"
"tech_comfort","1","1000","57","33.6","62.3","49.5","60.3","77.9","67.3","46.9","80.1","66.7","10.1","94.7"
"urgency","4","1000","57.4","36.2","64.7","54.9","62","77.8","68.2","49.9","80.8","67.9","11","92.6"
"urgency","1","1000","62.7","37.9","66.6","58.9","64.4","77.7","69.4","52.4","81.2","68.9","11.9","85.4"
"urgency","2","1000","62.5","40.4","67.2","59","64.6","78","69.8","53","81.5","69.5","12","86.5"
"urgency","5","1000","59.9","34.6","64.4","55.1","62.1","77.5","68","49.6","80.7","67.6","10.9","93.9"
"urgency","3","1000","62.3","36.7","66.6","59.3","64.5","78","69.4","52.4","81.2","68.8","11.8","88.2"
"device","shared device","1000","59.7","36","64.6","53.1","63.6","78","69","49.7","80.7","68","10.7","92.1"
"device","tablet or rugged device","1000","60.1","37.8","66.5","59.4","63.5","77.6","69","52.3","81.3","68.8","11.8","88.3"
"device","iPhone","1000","60.7","35.8","65.4","56.9","63.4","77.5","68.7","50.9","80.8","68.1","11.4","89.7"
"device","desktop","1000","62.9","37.1","66.8","60.9","63.4","78.1","69","52.7","81.4","68.9","12.1","86.9"
"device","Android","1000","61.4","39.1","66.1","57","63.5","77.8","69.2","51.7","81.1","68.9","11.5","89.4"
