"group","personas","completion_rate","wow_rate","ease_score","clarity_score","trust_score","usefulness_score","use_again_score","time_to_value_seconds"
"tech-batch-1","100","84","76","79.8","79.3","75.1","86.2","82.4","66.1"
"tech-batch-2","100","74","61","79.8","79","74.7","84","79.4","66.8"
"tech-batch-3","100","76","68","79.9","79","75.2","85.1","80.9","67"
"tech-batch-4","100","81","65","80.2","79.3","74.4","84.7","80.2","66.7"
"tech-batch-5","100","83","70","79.6","79.4","75.9","85.3","81.4","66.6"
"facility-batch-1","100","83","76","83.2","85.6","80.8","86.2","83.8","58.7"
"facility-batch-2","100","85","75","83.2","84.7","81.1","85.9","83.6","57.9"
"facility-batch-3","100","81","70","82.6","85.3","81.5","85.2","82.7","58.7"
"facility-batch-4","100","88","77","83","85.8","81.5","86.3","84.1","60"
"facility-batch-5","100","89","83","82","84.9","81.7","86.8","85.1","60.2"
"counter-batch-1","100","67","48","69.7","75.9","75.7","75.3","72.7","89.1"
"counter-batch-2","100","69","54","68.9","75.2","75.3","75.9","73.6","88.8"
"counter-batch-3","100","65","47","69.4","75.4","75.5","75.1","72.4","87.1"
"counter-batch-4","100","69","51","69","75.2","75.4","75.5","73","87.3"
"counter-batch-5","100","75","58","68.8","75.4","74.9","76.5","74.2","87.5"
"trainer-batch-1","100","66","45","60.9","64.7","75.1","67.1","66.9","104.6"
"trainer-batch-2","100","65","34","61","65","75.5","65.6","64.9","103.5"
"trainer-batch-3","100","64","38","60.7","64.9","75.7","66.1","65.7","103.4"
"trainer-batch-4","100","73","40","61.6","64.9","74.8","66.5","66","102.2"
"trainer-batch-5","100","60","39","62.1","65.5","75.8","66.6","66.1","103.4"
"homeowner-batch-1","100","66","37","67.5","64.9","75.9","62.4","63.2","83.1"
"homeowner-batch-2","100","66","35","67.7","63.8","75.4","62","62.6","85.1"
"homeowner-batch-3","100","70","46","67.4","64.2","75.4","63.5","64.7","84.5"
"homeowner-batch-4","100","62","44","67.7","63.4","75.6","63.2","64.4","82.8"
"homeowner-batch-5","100","72","34","67.9","63.9","75.2","61.9","62.4","84"
