"pain_point","count","rate"
"value_requires_too_many_first_session_decisions","1464","58.6"
"language_choice_not_part_of_first_use_role_step","1000","40"
"training_value_hidden_until_after_a_partsnap_result","500","20"
"technical_navigation_remains_too_broad_for_homeowner_mode","500","20"
"too_many_tools_visible_after_role_choice","250","10"
"some_secondary_controls_are_smaller_than_primary_field_actions","250","10"
"dense_small_supporting_copy","250","10"
"no_cross_device_team_history_without_optional_identity","157","6.3"
"partsnap_online_dependency_during_counter_work","150","6"
"role_opens_code_lookup_before_partsnap","100","4"
